FRAME_NUMBER,TIME_FPS,TIME_PROCESS,TIME_PHYSICS_PROCESS,MEMORY_STATIC,MEMORY_DYNAMIC,MEMORY_STATIC_MAX,MEMORY_DYNAMIC_MAX,MEMORY_MESSAGE_BUFFER_MAX,OBJECT_COUNT,OBJECT_RESOURCE_COUNT,OBJECT_NODE_COUNT,OBJECT_ORPHAN_NODE_COUNT,RENDER_OBJECTS_IN_FRAME,RENDER_VERTICES_IN_FRAME,RENDER_MATERIAL_CHANGES_IN_FRAME,RENDER_SHADER_CHANGES_IN_FRAME,RENDER_SURFACE_CHANGES_IN_FRAME,RENDER_DRAW_CALLS_IN_FRAME,RENDER_2D_ITEMS_IN_FRAME,RENDER_2D_DRAW_CALLS_IN_FRAME,RENDER_VIDEO_MEM_USED,RENDER_TEXTURE_MEM_USED,RENDER_VERTEX_MEM_USED,RENDER_USAGE_VIDEO_MEM_TOTAL,PHYSICS_2D_ACTIVE_OBJECTS,PHYSICS_2D_COLLISION_PAIRS,PHYSICS_2D_ISLAND_COUNT,PHYSICS_3D_ACTIVE_OBJECTS,PHYSICS_3D_COLLISION_PAIRS,PHYSICS_3D_ISLAND_COUNT,AUDIO_OUTPUT_LATENCY,
0,54,0,0,52551088,2622840,53544088,6464844,3600,1768,229,484,0,0,0,0,0,0,0,26,41,11122692,11122692,0,0,0,0,0,0,0,0,0,
1,54,0,0,52726672,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,41,11122692,11122692,0,0,9,13300,3,0,0,0,0,
2,54,0,0,52647368,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13300,3,0,0,0,0,
3,54,0,0,52658016,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13323,8,0,0,0,0,
4,54,0,0,52659952,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13323,8,0,0,0,0,
5,54,0,0,52650272,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13323,8,0,0,0,0,
6,54,0,0,52650528,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13323,8,0,0,0,0,
7,54,0,0,52668944,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13331,8,0,0,0,0,
8,54,0,0,52668208,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13329,8,0,0,0,0,
9,54,0,0,52655728,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13325,8,0,0,0,0,
10,54,0,0,52655360,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13325,8,0,0,0,0,
11,54,0,0,52655872,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13325,8,0,0,0,0,
12,54,0,0,52654272,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13323,8,0,0,0,0,
13,54,0,0,52654904,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13324,8,0,0,0,0,
14,54,0,0,52646016,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13325,8,0,0,0,0,
15,54,0,0,52632024,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13328,9,0,0,0,0,
